Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
5/16/2025,Potato,Local,1400,2200,1800,Pune,Pune,64300,0.36,
8/25/2023,Potato,Local,1200,2000,1600,Pune,Pune,65500,0.41,
9/25/2024,Potato,Local,2200,3100,2650,Pune,Pune,68900,0.26,
3/13/2024,Potato,Local,1400,2200,1800,Pune,Pune,71100,0.4,
11/26/2024,Potato,Local,2000,4200,3100,Pune,Pune,71700,0.23,
9/23/2024,Potato,Local,2000,3200,2600,Pune,Pune,71900,0.28,
2/23/2024,Potato,Local,1300,2000,1650,Pune,Pune,73000,0.44,
11-09-2023,Potato,Local,900,1800,1350,Pune,Pune,73500,0.54,
10/20/2024,Potato,Local,2000,3700,2850,Pune,Pune,78700,0.28,
12/24/2024,Potato,Local,1400,3000,2200,Pune,Pune,79200,0.36,
01-10-2025,Potato,Local,1400,2200,1800,Pune,Pune,83400,0.46,
08-06-2023,Potato,Local,1200,2100,1650,Pune,Pune,87900,0.53,
07-09-2023,Potato,Local,1300,2000,1650,Pune,Pune,88300,0.54,
7/13/2025,Potato,Local,1200,2000,1600,Pune,Pune,89200,0.56,
12-10-2024,Potato,Local,1600,4000,2800,Pune,Pune,90400,0.32,
09-10-2023,Potato,Local,1100,1800,1450,Pune,Pune,90800,0.63,
9/24/2023,Potato,Local,1000,2000,1500,Pune,Pune,94900,0.63,
06-11-2021,Potato,Other,800,1600,1200,Pune,Pune,24200,0.2,
05-07-2021,Potato,Other,700,1500,1100,Pune,Pune,28600,0.26,
5/25/2021,Potato,Other,800,1700,1250,Pune,Pune,30000,0.24,
08-04-2020,Potato,Other,2000,2500,2250,Pune,Pune,32300,0.14,
6/20/2022,Potato,Other,1800,2200,2000,Pune,Pune,34500,0.17,
01-08-2020,Potato,Other,2200,2800,2400,Pune,Pune,35100,0.15,
06-10-2021,Potato,Other,500,1600,1050,Pune,Pune,35500,0.34,
02-08-2022,Potato,Other,1000,1500,1250,Pune,Pune,36100,0.29,
11-11-2022,Potato,Other,1500,2200,1850,Pune,Pune,37700,0.2,
6/28/2020,Potato,Other,1800,3200,2000,Pune,Pune,40100,0.2,
11-10-2022,Potato,Other,1500,2200,1850,Pune,Pune,40300,0.22,
12/24/2020,Potato,Other,1400,2800,2100,Pune,Pune,40700,0.19,
3/13/2023,Potato,Other,700,1500,1100,Pune,Pune,41100,0.37,
08-11-2022,Potato,Other,1800,2300,2050,Pune,Pune,42000,0.2,
6/14/2021,Potato,Other,800,1600,1200,Pune,Pune,42800,0.36,
