Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
03-02-2020,Rice,Other,2700,2850,2775,Pune,Pune,300,0,
07-03-2020,Rice,Other,3000,5500,4300,Pune,Pune,800,0,
8/28/2020,Rice,Other,3200,5800,4550,Pune,Pune,900,0,
3/30/2020,Rice,Other,3200,5700,4450,Pune,Pune,1600,0,
8/24/2020,Rice,Other,8500,10500,9550,Pune,Pune,400,0,
04-01-2021,Rice,Other,3200,6400,4850,Pune,Pune,3100,0.01,
6/17/2020,Rice,Other,3200,5700,4450,Pune,Pune,400,0,
07-01-2020,Rice,Other,7500,9500,8500,Pune,Pune,1200,0,
07-09-2020,Rice,Other,2600,2850,2750,Pune,Pune,1400,0.01,
3/21/2020,Rice,Other,2600,2800,2700,Pune,Pune,200,0,
2/29/2020,Rice,Other,2650,2900,2800,Pune,Pune,300,0,
3/31/2020,Rice,Other,7500,9000,8250,Pune,Pune,100,0,
06-08-2020,Rice,Other,7000,9500,8250,Pune,Pune,100,0,
6/18/2020,Rice,Other,7000,9200,8100,Pune,Pune,700,0,
2/24/2020,Rice,Other,7500,9500,8500,Pune,Pune,200,0,
08-03-2020,Rice,Other,7500,9800,8700,Pune,Pune,800,0,
2/17/2020,Rice,Other,8000,9500,8750,Pune,Pune,100,0,
5/30/2020,Rice,Other,2750,3100,2950,Pune,Pune,900,0,
7/13/2020,Rice,Other,3100,5100,4150,Pune,Pune,1400,0,
7/21/2020,Rice,Other,2700,2900,2850,Pune,Pune,100,0,
06-11-2020,Rice,Other,2700,2900,2800,Pune,Pune,200,0,
3/14/2020,Rice,Other,3300,5700,4500,Pune,Pune,1000,0,
5/28/2020,Rice,Other,3400,5500,4450,Pune,Pune,500,0,
6/27/2020,Rice,Other,2650,2800,2750,Pune,Pune,200,0,
6/20/2020,Rice,Other,7500,9000,8250,Pune,Pune,100,0,
06-12-2020,Rice,Other,3300,5700,4500,Pune,Pune,500,0,
3/23/2020,Rice,Other,7500,9000,8250,Pune,Pune,200,0,
